,LocationID,zone,borough,number_of_schools,number_of_pois,number_of_universities
240,241,Van Cortlandt Village,Bronx,22,84,1
241,242,Van Nest/Morris Park,Bronx,8,80,0
242,243,Washington Heights North,Manhattan,20,125,1
243,244,Washington Heights South,Manhattan,16,155,1
244,245,West Brighton,Staten Island,3,52,0
245,246,West Chelsea/Hudson Yards,Manhattan,1,82,0
246,247,West Concourse,Bronx,12,99,0
247,248,West Farms/Bronx River,Bronx,12,54,0
248,249,West Village,Manhattan,5,58,0
249,250,Westchester Village/Unionport,Bronx,3,30,0
250,251,Westerleigh,Staten Island,2,65,0
251,252,Whitestone,Queens,5,58,0
252,253,Willets Point,Queens,0,2,0
253,254,Williamsbridge/Olinville,Bronx,16,80,0
254,255,Williamsburg (North Side),Brooklyn,6,64,1
255,256,Williamsburg (South Side),Brooklyn,5,83,0
256,257,Windsor Terrace,Brooklyn,8,30,0
257,258,Woodhaven,Queens,6,30,0
258,259,Woodlawn/Wakefield,Bronx,6,33,0
259,260,Woodside,Queens,4,67,0
260,261,World Trade Center,Manhattan,6,52,0
261,262,Yorkville East,Manhattan,1,45,0
262,263,Yorkville West,Manhattan,4,22,0
